Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,Solar PV,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
10,5.5,Current,25%,75%,Improved,Current,No, 139.7 , 39.8 , 24.6 ,35.3,36.6
10,5.5,Improved,Current,None,Improved,Current,No, 170.4 , 67.4 , 30.4 ,21.1,21.8
10,5.5,Improved,Current,75%,Improved,Current,No, 140.2 , 35.5 , 24.6 ,35.1,36.7
10,5.5,Improved,25%,None,Improved,Current,No, 167.7 , 69.8 , 30.0 ,22.4,22.8
10,5.5,Improved,25%,75%,Improved,Current,No, 137.8 , 37.8 , 24.2 ,36.2,37.6
15,2.8,Current,Current,None,Improved,Current,No, 181.3 , 79.4 , 32.5 ,16.0,16.4
15,2.8,Current,Current,75%,Improved,Current,No, 151.8 , 47.4 , 26.8 ,29.7,31.0
15,2.8,Current,25%,None,Improved,Current,No, 179.0 , 82.1 , 32.1 ,17.1,17.3
15,2.8,Current,25%,75%,Improved,Current,No, 149.6 , 50.1 , 26.5 ,30.7,31.8
15,2.8,Improved,Current,None,Improved,Current,No, 179.5 , 77.4 , 32.1 ,16.9,17.3
15,2.8,Improved,Current,75%,Improved,Current,No, 149.9 , 45.4 , 26.4 ,30.6,31.9
15,2.8,Improved,25%,None,Improved,Current,No, 177.1 , 80.0 , 31.8 ,18.0,18.2
15,2.8,Improved,25%,75%,Improved,Current,No, 147.7 , 48.0 , 26.1 ,31.6,32.7
15,4,Current,Current,None,Improved,Current,No, 173.9 , 71.4 , 31.1 ,19.5,20.0
15,4,Current,Current,75%,Improved,Current,No, 144.1 , 39.4 , 25.3 ,33.3,34.8
15,4,Current,25%,None,Improved,Current,No, 171.4 , 73.9 , 30.7 ,20.6,21.0
15,4,Current,25%,75%,Improved,Current,No, 141.8 , 41.9 , 25.0 ,34.3,35.6
15,4,Improved,Current,None,Improved,Current,No, 172.1 , 69.4 , 30.7 ,20.3,20.9
15,4,Improved,Current,75%,Improved,Current,No, 142.1 , 37.5 , 25.0 ,34.2,35.7
15,4,Improved,25%,None,Improved,Current,No, 169.5 , 71.9 , 30.3 ,21.5,21.9
15,4,Improved,25%,75%,Improved,Current,No, 139.8 , 39.9 , 24.6 ,35.3,36.6
15,5.5,Current,Current,None,Improved,Current,No, 170.4 , 67.5 , 30.4 ,21.1,21.7
15,5.5,Current,Current,75%,Improved,Current,No, 140.2 , 35.5 , 24.6 ,35.1,36.7
15,5.5,Current,25%,None,Improved,Current,No, 167.7 , 69.8 , 30.0 ,22.3,22.8
15,5.5,Current,25%,75%,Improved,Current,No, 137.8 , 37.9 , 24.2 ,36.2,37.6
15,5.5,Improved,Current,None,Improved,Current,No, 168.5 , 65.5 , 30.0 ,22.0,22.7
15,5.5,Improved,Current,75%,Improved,Current,No, 138.2 , 33.6 , 24.2 ,36.0,37.6
15,5.5,Improved,25%,None,Improved,Current,No, 165.9 , 67.8 , 29.6 ,23.2,23.7
15,5.5,Improved,25%,75%,Improved,Current,No, 135.8 , 35.9 , 23.9 ,37.1,38.6
5,2.8,Current,Current,None,Improved,ASHP,No, 149.9 , 84.8 , 26.0 ,30.6,33.2
5,2.8,Current,Current,75%,Improved,ASHP,No, 136.4 , 55.0 , 23.5 ,36.8,39.4
5,2.8,Current,25%,None,Improved,ASHP,No, 146.3 , 87.5 , 25.3 ,32.2,34.7
5,2.8,Current,25%,75%,Improved,ASHP,No, 132.8 , 57.8 , 22.9 ,38.5,41.0
5,2.8,Improved,Current,None,Improved,ASHP,No, 148.9 , 83.0 , 25.8 ,31.0,33.6
5,2.8,Improved,Current,75%,Improved,ASHP,No, 135.4 , 53.0 , 23.4 ,37.3,39.9
5,2.8,Improved,25%,None,Improved,ASHP,No, 145.3 , 85.6 , 25.2 ,32.7,35.2
5,2.8,Improved,25%,75%,Improved,ASHP,No, 131.8 , 55.8 , 22.8 ,39.0,41.4
5,4,Current,Current,None,Improved,ASHP,No, 146.4 , 77.8 , 25.3 ,32.2,34.8
5,4,Current,Current,75%,Improved,ASHP,No, 132.4 , 47.0 , 22.8 ,38.7,41.2
5,4,Current,25%,None,Improved,ASHP,No, 142.7 , 80.2 , 24.7 ,33.9,36.4
5,4,Current,25%,75%,Improved,ASHP,No, 128.8 , 49.6 , 22.2 ,40.4,42.8
5,4,Improved,Current,None,Improved,ASHP,No, 145.5 , 75.8 , 25.2 ,32.6,35.2
5,4,Improved,Current,75%,Improved,ASHP,No, 131.5 , 45.0 , 22.7 ,39.1,41.6
5,4,Improved,25%,None,Improved,ASHP,No, 141.8 , 78.3 , 24.5 ,34.4,36.8
5,4,Improved,25%,75%,Improved,ASHP,No, 127.8 , 47.6 , 22.1 ,40.8,43.2
5,5.5,Current,Current,None,Improved,ASHP,No, 144.6 , 74.1 , 25.0 ,33.0,35.6
5,5.5,Current,Current,75%,Improved,ASHP,No, 130.5 , 43.0 , 22.5 ,39.5,42.1
5,5.5,Current,25%,None,Improved,ASHP,No, 140.9 , 76.5 , 24.4 ,34.8,37.2
5,5.5,Current,25%,75%,Improved,ASHP,No, 126.8 , 45.5 , 21.9 ,41.3,43.7
5,5.5,Improved,Current,None,Improved,ASHP,No, 143.7 , 72.1 , 24.8 ,33.5,36.0
5,5.5,Improved,Current,75%,Improved,ASHP,No, 129.6 , 41.1 , 22.3 ,40.0,42.5
5,5.5,Improved,25%,None,Improved,ASHP,No, 139.9 , 74.6 , 24.2 ,35.2,37.7
5,5.5,Improved,25%,75%,Improved,ASHP,No, 125.8 , 43.5 , 21.7 ,41.7,44.1
