Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
10,2.8,Current,Current,None,Improved,ASHP, 147 , 80 , 26 ,32,34
10,2.8,Current,Current,75%,Improved,ASHP, 134 , 49 , 23 ,38,41
10,2.8,Current,25%,None,Improved,ASHP, 144 , 82 , 25 ,33,36
10,2.8,Current,25%,75%,Improved,ASHP, 130 , 52 , 22 ,40,42
10,2.8,Improved,Current,None,Improved,ASHP, 146 , 78 , 25 ,32,35
10,2.8,Improved,Current,75%,Improved,ASHP, 133 , 47 , 23 ,39,41
10,2.8,Improved,25%,None,Improved,ASHP, 143 , 81 , 25 ,34,36
10,2.8,Improved,25%,75%,Improved,ASHP, 129 , 50 , 22 ,40,43
10,4,Current,Current,None,Improved,ASHP, 144 , 73 , 25 ,33,36
10,4,Current,Current,75%,Improved,ASHP, 130 , 41 , 22 ,40,42
10,4,Current,25%,None,Improved,ASHP, 140 , 75 , 24 ,35,38
10,4,Current,25%,75%,Improved,ASHP, 126 , 44 , 22 ,42,44
10,4,Improved,Current,None,Improved,ASHP, 143 , 71 , 25 ,34,36
10,4,Improved,Current,75%,Improved,ASHP, 129 , 39 , 22 ,40,43
10,4,Improved,25%,None,Improved,ASHP, 139 , 73 , 24 ,36,38
10,4,Improved,25%,75%,Improved,ASHP, 125 , 42 , 22 ,42,45
10,5.5,Current,Current,None,Improved,ASHP, 142 , 69 , 25 ,34,37
10,5.5,Current,Current,75%,Improved,ASHP, 128 , 37 , 22 ,41,43
10,5.5,Current,25%,None,Improved,ASHP, 138 , 71 , 24 ,36,38
10,5.5,Current,25%,75%,Improved,ASHP, 124 , 40 , 21 ,43,45
10,5.5,Improved,Current,None,Improved,ASHP, 141 , 67 , 24 ,35,37
10,5.5,Improved,Current,75%,Improved,ASHP, 127 , 36 , 22 ,41,44
10,5.5,Improved,25%,None,Improved,ASHP, 137 , 69 , 24 ,36,39
10,5.5,Improved,25%,75%,Improved,ASHP, 123 , 38 , 21 ,43,45
15,2.8,Current,Current,None,Improved,ASHP, 147 , 78 , 25 ,32,35
15,2.8,Current,Current,75%,Improved,ASHP, 133 , 47 , 23 ,39,41
15,2.8,Current,25%,None,Improved,ASHP, 143 , 81 , 25 ,34,36
15,2.8,Current,25%,75%,Improved,ASHP, 129 , 50 , 22 ,40,43
15,2.8,Improved,Current,None,Improved,ASHP, 146 , 76 , 25 ,33,35
15,2.8,Improved,Current,75%,Improved,ASHP, 132 , 45 , 23 ,39,42
15,2.8,Improved,25%,None,Improved,ASHP, 142 , 79 , 25 ,34,37
15,2.8,Improved,25%,75%,Improved,ASHP, 128 , 48 , 22 ,41,43
15,4,Current,Current,None,Improved,ASHP, 143 , 71 , 25 ,34,36
15,4,Current,Current,75%,Improved,ASHP, 129 , 39 , 22 ,40,43
15,4,Current,25%,None,Improved,ASHP, 139 , 73 , 24 ,36,38
15,4,Current,25%,75%,Improved,ASHP, 125 , 42 , 22 ,42,45
15,4,Improved,Current,None,Improved,ASHP, 142 , 69 , 25 ,34,37
15,4,Improved,Current,75%,Improved,ASHP, 128 , 38 , 22 ,41,43
15,4,Improved,25%,None,Improved,ASHP, 138 , 71 , 24 ,36,38
15,4,Improved,25%,75%,Improved,ASHP, 124 , 40 , 21 ,43,45
15,5.5,Current,Current,None,Improved,ASHP, 141 , 67 , 24 ,35,37
15,5.5,Current,Current,75%,Improved,ASHP, 127 , 36 , 22 ,41,44
15,5.5,Current,25%,None,Improved,ASHP, 137 , 69 , 24 ,36,39
15,5.5,Current,25%,75%,Improved,ASHP, 123 , 38 , 21 ,43,45
15,5.5,Improved,Current,None,Improved,ASHP, 140 , 65 , 24 ,35,38
15,5.5,Improved,Current,75%,Improved,ASHP, 126 , 34 , 22 ,42,44
15,5.5,Improved,25%,None,Improved,ASHP, 136 , 67 , 24 ,37,39
15,5.5,Improved,25%,75%,Improved,ASHP, 122 , 36 , 21 ,43,46
